Year,Units,variable_code,Variable_category
2023, Beef Cattle and Grain Farming",Dollars (millions),Fixed tangible assets
2023, Beef Cattle and Grain Farming",Dollars (millions),Other assets
2023, Beef Cattle and Grain Farming",Dollars (millions),Total equity and liabilities
2023, Beef Cattle and Grain Farming",Dollars (millions),Shareholders funds or owners equity
2023, Beef Cattle and Grain Farming",Dollars (millions),Current liabilities
2023, Beef Cattle and Grain Farming",Dollars (millions),Other liabilities
2023, Beef Cattle and Grain Farming",Dollars,Total income per employee count
2023, Beef Cattle and Grain Farming",Dollars,Surplus per employee count
2023, Beef Cattle and Grain Farming",Percentage,Current ratio
2023, Beef Cattle and Grain Farming",Percentage,Quick ratio
2023, Beef Cattle and Grain Farming",Percentage,Return on equity
2023, Beef Cattle and Grain Farming",Percentage,Return on total assets
2023, Beef Cattle and Grain Farming",Percentage,Liabilities structure
2023, Beef Cattle and Grain Farming",Dollars (millions),Total income
2023, Beef Cattle and Grain Farming",Dollars (millions),"Sales
2023, Beef Cattle and Grain Farming",Dollars (millions),"Interest
2023, Beef Cattle and Grain Farming",Dollars (millions),Non-operating income
2023, Beef Cattle and Grain Farming",Dollars (millions),Total expenditure
2023, Beef Cattle and Grain Farming",Dollars (millions),Interest and donations
2023, Beef Cattle and Grain Farming",Dollars (millions),Indirect taxes
2023, Beef Cattle and Grain Farming",Dollars (millions),Depreciation
2023, Beef Cattle and Grain Farming",Dollars (millions),Salaries and wages paid
2023, Beef Cattle and Grain Farming",Dollars (millions),Redundancy and severance
2023, Beef Cattle and Grain Farming",Dollars (millions),Purchases and other operating expenses
2023, Beef Cattle and Grain Farming",Dollars (millions),Non-operating expenses
2023, Beef Cattle and Grain Farming",Dollars (millions),Opening stocks
2023, Beef Cattle and Grain Farming",Dollars (millions),Closing stocks
2023, Beef Cattle and Grain Farming",Dollars (millions),Surplus before income tax
2023, Beef Cattle and Grain Farming",Dollars (millions),Total assets
2023, Beef Cattle and Grain Farming",Dollars (millions),Current assets
2023, Beef Cattle and Grain Farming",Dollars (millions),Fixed tangible assets
2023, Beef Cattle and Grain Farming",Dollars (millions),Other assets
2023, Beef Cattle and Grain Farming",Dollars (millions),Total equity and liabilities
2023, Beef Cattle and Grain Farming",Dollars (millions),Shareholders funds or owners equity
2023, Beef Cattle and Grain Farming",Dollars (millions),Current liabilities
2023, Beef Cattle and Grain Farming",Dollars (millions),Other liabilities
2023, Beef Cattle and Grain Farming",Dollars,Total income per employee count
2023, Beef Cattle and Grain Farming",Dollars,Surplus per employee count
2023, Beef Cattle and Grain Farming",Percentage,Current ratio
2023, Beef Cattle and Grain Farming",Percentage,Quick ratio
2023, Beef Cattle and Grain Farming",Percentage,Return on equity
2023, Beef Cattle and Grain Farming",Percentage,Return on total assets
2023, Beef Cattle and Grain Farming",Percentage,Liabilities structure
2023,Dollars (millions),H01,Financial performance
2023,Dollars (millions),H04, government funding
2023,Dollars (millions),H05, dividends and donations"
2023,Dollars (millions),H07,Financial performance
2023,Dollars (millions),H08,Financial performance
2023,Dollars (millions),H09,Financial performance
2023,Dollars (millions),H10,Financial performance
2023,Dollars (millions),H11,Financial performance
2023,Dollars (millions),H12,Financial performance
2023,Dollars (millions),H13,Financial performance
2023,Dollars (millions),H19,Financial performance
2023,Dollars (millions),H20,Financial performance
2023,Dollars (millions),H21,Financial performance
2023,Dollars (millions),H22,Financial performance
2023,Dollars (millions),H23,Financial performance
2023,Dollars (millions),H24,Financial position
2023,Dollars (millions),H25,Financial position
2023,Dollars (millions),H26,Financial position
2023,Dollars (millions),H29,Financial position
2023,Dollars (millions),H30,Financial position
2023,Dollars (millions),H31,Financial position
2023,Dollars (millions),H32,Financial position
2023,Dollars (millions),H33,Financial position
2023,Dollars,H34,Financial ratios
2023,Dollars,H35,Financial ratios
2023,Percentage,H36,Financial ratios
2023,Percentage,H37,Financial ratios
2023,Percentage,H39,Financial ratios
2023,Percentage,H40,Financial ratios
2023,Percentage,H41,Financial ratios
2023,Dollars (millions),H01,Financial performance
2023,Dollars (millions),H04, government funding
2023,Dollars (millions),H05, dividends and donations"
2023,Dollars (millions),H07,Financial performance
2023,Dollars (millions),H08,Financial performance
2023,Dollars (millions),H09,Financial performance
2023,Dollars (millions),H10,Financial performance
2023,Dollars (millions),H11,Financial performance
2023,Dollars (millions),H12,Financial performance
2023,Dollars (millions),H13,Financial performance
2023,Dollars (millions),H19,Financial performance
2023,Dollars (millions),H20,Financial performance
2023,Dollars (millions),H21,Financial performance
2023,Dollars (millions),H22,Financial performance
2023,Dollars (millions),H23,Financial performance
2023,Dollars (millions),H24,Financial position
2023,Dollars (millions),H25,Financial position
2023,Dollars (millions),H26,Financial position
2023,Dollars (millions),H29,Financial position
2023,Dollars (millions),H30,Financial position
2023,Dollars (millions),H31,Financial position
2023,Dollars (millions),H32,Financial position
2023,Dollars (millions),H33,Financial position
2023,Dollars,H34,Financial ratios
2023,Dollars,H35,Financial ratios
2023,Percentage,H36,Financial ratios
2023,Percentage,H37,Financial ratios
2023,Percentage,H39,Financial ratios
2023,Percentage,H40,Financial ratios
2023,Percentage,H41,Financial ratios
2023, Deer and Other Livestock Farming",Dollars (millions),Total income
2023, Deer and Other Livestock Farming",Dollars (millions),"Sales
2023, Deer and Other Livestock Farming",Dollars (millions),"Interest
2023, Deer and Other Livestock Farming",Dollars (millions),Non-operating income
2023, Deer and Other Livestock Farming",Dollars (millions),Total expenditure
2023, Deer and Other Livestock Farming",Dollars (millions),Interest and donations
2023, Deer and Other Livestock Farming",Dollars (millions),Indirect taxes
2023, Deer and Other Livestock Farming",Dollars (millions),Depreciation
2023, Deer and Other Livestock Farming",Dollars (millions),Salaries and wages paid
2023, Deer and Other Livestock Farming",Dollars (millions),Redundancy and severance
2023, Deer and Other Livestock Farming",Dollars (millions),Purchases and other operating expenses
2023, Deer and Other Livestock Farming",Dollars (millions),Non-operating expenses
2023, Deer and Other Livestock Farming",Dollars (millions),Opening stocks
2023, Deer and Other Livestock Farming",Dollars (millions),Closing stocks
2023, Deer and Other Livestock Farming",Dollars (millions),Surplus before income tax
2023, Deer and Other Livestock Farming",Dollars (millions),Total assets
2023, Deer and Other Livestock Farming",Dollars (millions),Current assets
2023, Deer and Other Livestock Farming",Dollars (millions),Fixed tangible assets
2023, Deer and Other Livestock Farming",Dollars (millions),Other assets
2023, Deer and Other Livestock Farming",Dollars (millions),Total equity and liabilities
2023, Deer and Other Livestock Farming",Dollars (millions),Shareholders funds or owners equity
2023, Deer and Other Livestock Farming",Dollars (millions),Current liabilities
2023, Deer and Other Livestock Farming",Dollars (millions),Other liabilities
2023, Deer and Other Livestock Farming",Dollars,Total income per employee count
2023, Deer and Other Livestock Farming",Dollars,Surplus per employee count
2023, Deer and Other Livestock Farming",Percentage,Current ratio
2023, Deer and Other Livestock Farming",Percentage,Quick ratio
2023, Deer and Other Livestock Farming",Percentage,Return on equity
2023, Deer and Other Livestock Farming",Percentage,Return on total assets
2023, Deer and Other Livestock Farming",Percentage,Liabilities structure
2023, Deer and Other Livestock Farming",Dollars (millions),Total income
2023, Deer and Other Livestock Farming",Dollars (millions),"Sales
2023, Deer and Other Livestock Farming",Dollars (millions),"Interest
2023, Deer and Other Livestock Farming",Dollars (millions),Non-operating income
2023, Deer and Other Livestock Farming",Dollars (millions),Total expenditure
2023, Deer and Other Livestock Farming",Dollars (millions),Interest and donations
2023, Deer and Other Livestock Farming",Dollars (millions),Indirect taxes
2023, Deer and Other Livestock Farming",Dollars (millions),Depreciation
2023, Deer and Other Livestock Farming",Dollars (millions),Salaries and wages paid
2023, Deer and Other Livestock Farming",Dollars (millions),Redundancy and severance
2023, Deer and Other Livestock Farming",Dollars (millions),Purchases and other operating expenses
2023, Deer and Other Livestock Farming",Dollars (millions),Non-operating expenses
2023, Deer and Other Livestock Farming",Dollars (millions),Opening stocks
2023, Deer and Other Livestock Farming",Dollars (millions),Closing stocks
2023, Deer and Other Livestock Farming",Dollars (millions),Surplus before income tax
2023, Deer and Other Livestock Farming",Dollars (millions),Total assets
2023, Deer and Other Livestock Farming",Dollars (millions),Current assets
2023, Deer and Other Livestock Farming",Dollars (millions),Fixed tangible assets
2023, Deer and Other Livestock Farming",Dollars (millions),Other assets
2023, Deer and Other Livestock Farming",Dollars (millions),Total equity and liabilities
2023, Deer and Other Livestock Farming",Dollars (millions),Shareholders funds or owners equity
2023, Deer and Other Livestock Farming",Dollars (millions),Current liabilities
2023, Deer and Other Livestock Farming",Dollars (millions),Other liabilities
2023, Deer and Other Livestock Farming",Dollars,Total income per employee count
2023, Deer and Other Livestock Farming",Dollars,Surplus per employee count
2023, Deer and Other Livestock Farming",Percentage,Current ratio
2023, Deer and Other Livestock Farming",Percentage,Quick ratio
2023, Deer and Other Livestock Farming",Percentage,Return on equity
2023, Deer and Other Livestock Farming",Percentage,Return on total assets
2023, Deer and Other Livestock Farming",Percentage,Liabilities structure
2023,Dollars (millions),H01,Financial performance
